obrazek,podle,corrAns,zpetnavazba,pauza
Chd.jpg,vy,left,1,1
Bhd.jpg,znacka,right,1,0
Chd.jpg,vy,left,1,0
Bhd.jpg,vy,left,1,0
Bdh.jpg,znacka,left,1,0
Bhd.jpg,vy,left,0,1
Bdh.jpg,znacka,left,0,0
Ahd.jpg,znacka,right,0,0
Cdh.jpg,vy,right,0,0
Bdh.jpg,vy,right,0,0
Adh.jpg,znacka,left,0,0
Bhd.jpg,vy,left,0,0
Ahd.jpg,vy,left,0,0
Cdh.jpg,znacka,left,0,0
Cdh.jpg,vy,right,0,0
Ahd.jpg,znacka,right,0,0
Chd.jpg,vy,left,0,0
Adh.jpg,vy,right,0,0
Ahd.jpg,vy,left,0,0
Adh.jpg,vy,right,0,0
Adh.jpg,znacka,left,0,0
Bhd.jpg,znacka,right,0,0
Chd.jpg,znacka,right,0,0
Bdh.jpg,vy,right,0,0
Chd.jpg,znacka,right,0,0
Bdh.jpg,znacka,left,0,0
Bhd.jpg,znacka,right,0,0
Cdh.jpg,znacka,left,0,0
Chd.jpg,vy,left,0,0
Bhd.jpg,znacka,right,0,1
Bdh.jpg,znacka,left,0,0
Ahd.jpg,vy,left,0,0
Chd.jpg,znacka,right,0,0
Chd.jpg,vy,left,0,0
Bhd.jpg,znacka,right,0,0
Adh.jpg,vy,right,0,0
Adh.jpg,znacka,left,0,0
Chd.jpg,vy,left,0,0
Bdh.jpg,znacka,left,0,0
Cdh.jpg,znacka,left,0,0
Cdh.jpg,vy,right,0,0
Cdh.jpg,znacka,left,0,0
Ahd.jpg,vy,left,0,0
Bdh.jpg,vy,right,0,0
Adh.jpg,znacka,left,0,0
Cdh.jpg,vy,right,0,0
Ahd.jpg,znacka,right,0,0
Chd.jpg,znacka,right,0,0
Adh.jpg,vy,right,0,0
Bhd.jpg,vy,left,0,0
Bdh.jpg,vy,right,0,0
Ahd.jpg,znacka,right,0,0
Bhd.jpg,vy,left,0,0
Adh.jpg,vy,right,0,1
Chd.jpg,vy,left,0,0
Chd.jpg,znacka,right,0,0
Bhd.jpg,znacka,right,0,0
Cdh.jpg,vy,right,0,0
Bdh.jpg,vy,right,0,0
Adh.jpg,znacka,left,0,0
Bhd.jpg,znacka,right,0,0
Ahd.jpg,vy,left,0,0
Bdh.jpg,vy,right,0,0
Ahd.jpg,vy,left,0,0
Bdh.jpg,znacka,left,0,0
Chd.jpg,vy,left,0,0
Ahd.jpg,znacka,right,0,0
Bhd.jpg,vy,left,0,0
Cdh.jpg,znacka,left,0,0
Adh.jpg,znacka,left,0,0
Bdh.jpg,znacka,left,0,0
Cdh.jpg,znacka,left,0,0
Cdh.jpg,vy,right,0,0
Bhd.jpg,vy,left,0,0
Chd.jpg,znacka,right,0,0
Adh.jpg,vy,right,0,0
Ahd.jpg,znacka,right,0,0
