obrazek,uhel,corrAns,zpetnavazba,pauza
2D-225l-1100.jpg,225,left,1,1
2D-090r-1100.jpg,90,right,1,0
2D-270l-1100.jpg,270,left,1,0
2D-225r-1100.jpg,225,right,1,0
2D-315r-1100.jpg,315,right,1,0
2D-045r-1100.jpg,45,right,0,1
2D-225l-1100.jpg,225,left,0,0
2D-135r-1100.jpg,135,right,0,0
2D-225l-1100.jpg,225,left,0,0
2D-315l-1100.jpg,315,left,0,0
2D-225r-1100.jpg,225,right,0,0
2D-180r-1100.jpg,180,right,0,0
2D-045r-1100.jpg,45,right,0,0
2D-090l-1100.jpg,90,left,0,0
2D-270r-1100.jpg,270,right,0,0
2D-000r-1100.jpg,0,right,0,0
2D-090r-1100.jpg,90,right,0,0
2D-180r-1100.jpg,180,right,0,0
2D-090r-1100.jpg,90,right,0,0
2D-225l-1100.jpg,225,left,0,0
2D-135l-1100.jpg,135,left,0,0
2D-315r-1100.jpg,315,right,0,0
2D-045l-1100.jpg,45,left,0,0
2D-135r-1100.jpg,135,right,0,0
2D-000l-1100.jpg,0,left,0,0
2D-090r-1100.jpg,90,right,0,0
2D-045l-1100.jpg,45,left,0,0
2D-000l-1100.jpg,0,left,0,0
2D-135l-1100.jpg,135,left,0,0
2D-045r-1100.jpg,45,right,0,0
2D-270l-1100.jpg,270,left,0,0
2D-090r-1100.jpg,90,right,0,0
2D-270l-1100.jpg,270,left,0,0
2D-225l-1100.jpg,225,left,0,0
2D-000r-1100.jpg,0,right,0,0
2D-270r-1100.jpg,270,right,0,0
2D-000l-1100.jpg,0,left,0,0
2D-180l-1100.jpg,180,left,0,1
2D-135l-1100.jpg,135,left,0,0
2D-180r-1100.jpg,180,right,0,0
2D-090l-1100.jpg,90,left,0,0
2D-225r-1100.jpg,225,right,0,0
2D-090l-1100.jpg,90,left,0,0
2D-180l-1100.jpg,180,left,0,0
2D-225r-1100.jpg,225,right,0,0
2D-180l-1100.jpg,180,left,0,0
2D-045r-1100.jpg,45,right,0,0
2D-225r-1100.jpg,225,right,0,0
2D-135r-1100.jpg,135,right,0,0
2D-270r-1100.jpg,270,right,0,0
2D-315l-1100.jpg,315,left,0,0
2D-000r-1100.jpg,0,right,0,0
2D-315l-1100.jpg,315,left,0,0
2D-180r-1100.jpg,180,right,0,0
2D-315l-1100.jpg,315,left,0,0
2D-000l-1100.jpg,0,left,0,0
2D-045l-1100.jpg,45,left,0,0
2D-315r-1100.jpg,315,right,0,0
2D-180l-1100.jpg,180,left,0,0
2D-045l-1100.jpg,45,left,0,0
2D-315r-1100.jpg,315,right,0,0
2D-270r-1100.jpg,270,right,0,0
2D-090l-1100.jpg,90,left,0,0
2D-315r-1100.jpg,315,right,0,0
2D-270l-1100.jpg,270,left,0,0
2D-135l-1100.jpg,135,left,0,0
2D-270l-1100.jpg,270,left,0,0
2D-135r-1100.jpg,135,right,0,0
2D-000r-1100.jpg,0,right,0,0
