obrazek,uhel,corrAns,zpetnavazba,pauza
3D-225l-1600.jpg,225,left,1,1
3D-090r-1600.jpg,90,right,1,0
3D-270l-1600.jpg,270,left,1,0
3D-225r-1600.jpg,225,right,1,0
3D-315r-1600.jpg,153,right,1,0
3D-045l-1600.jpg,45,left,0,1
3D-270r-1600.jpg,270,right,0,0
3D-315l-1600.jpg,315,left,0,0
3D-180r-1600.jpg,180,right,0,0
3D-090l-1600.jpg,90,left,0,0
3D-045r-1600.jpg,45,right,0,0
3D-180l-1600.jpg,180,left,0,0
3D-315r-1600.jpg,153,right,0,0
3D-135l-1600.jpg,135,left,0,0
3D-315l-1600.jpg,315,left,0,0
3D-045l-1600.jpg,45,left,0,0
3D-225r-1600.jpg,225,right,0,0
3D-270l-1600.jpg,270,left,0,0
3D-225l-1600.jpg,225,left,0,0
3D-045r-1600.jpg,45,right,0,0
3D-090r-1600.jpg,90,right,0,0
3D-180l-1600.jpg,180,left,0,0
3D-000l-1600.jpg,0,left,0,0
3D-270r-1600.jpg,270,right,0,0
3D-000l-1600.jpg,0,left,0,0
3D-225l-1600.jpg,225,left,0,0
3D-180r-1600.jpg,180,right,0,0
3D-135l-1600.jpg,135,left,0,0
3D-180r-1600.jpg,180,right,0,0
3D-225r-1600.jpg,225,right,0,0
3D-135l-1600.jpg,135,left,0,0
3D-225r-1600.jpg,225,right,0,0
3D-135r-1600.jpg,135,right,0,0
3D-045r-1600.jpg,45,right,0,0
3D-270r-1600.jpg,270,right,0,0
3D-045l-1600.jpg,45,left,0,0
3D-090l-1600.jpg,90,left,0,0
3D-000l-1600.jpg,0,left,0,1
3D-090r-1600.jpg,90,right,0,0
3D-315r-1600.jpg,153,right,0,0
3D-090l-1600.jpg,90,left,0,0
3D-225l-1600.jpg,225,left,0,0
3D-135l-1600.jpg,135,left,0,0
3D-180r-1600.jpg,180,right,0,0
3D-315r-1600.jpg,153,right,0,0
3D-270r-1600.jpg,270,right,0,0
3D-225l-1600.jpg,225,left,0,0
3D-315r-1600.jpg,153,right,0,0
3D-225r-1600.jpg,225,right,0,0
3D-270l-1600.jpg,270,left,0,0
3D-180l-1600.jpg,180,left,0,0
3D-135r-1600.jpg,135,right,0,0
3D-180l-1600.jpg,180,left,0,0
3D-270l-1600.jpg,270,left,0,0
3D-000r-1600.jpg,0,right,0,0
3D-135r-1600.jpg,135,right,0,0
3D-045r-1600.jpg,45,right,0,0
3D-000r-1600.jpg,0,right,0,0
3D-135r-1600.jpg,135,right,0,0
3D-315l-1600.jpg,315,left,0,0
3D-090l-1600.jpg,90,left,0,0
3D-000r-1600.jpg,0,right,0,0
3D-315l-1600.jpg,315,left,0,0
3D-090r-1600.jpg,90,right,0,0
3D-045l-1600.jpg,45,left,0,0
3D-000l-1600.jpg,0,left,0,0
3D-270l-1600.jpg,270,left,0,0
3D-090r-1600.jpg,90,right,0,0
3D-000r-1600.jpg,0,right,0,0
