obrazek,uhel,corrAns,zpetnavazba,pauza
bva3-225l_1024_512.jpg,225,left,1,1
bva3-090r_1024_512.jpg,90,right,1,0
bva3-270l_1024_512.jpg,270,left,1,0
bva3-225r_1024_512.jpg,180,right,1,0
bva3-315r_1024_512.jpg,315,right,1,0
bva3-045r_1024_512.jpg,45,right,0,1
bva3-315l_1024_512.jpg,315,left,0,0
bva3-090l_1024_512.jpg,90,left,0,0
bva3-045l_1024_512.jpg,45,left,0,0
bva3-135l_1024_512.jpg,135,left,0,0
bva3-090l_1024_512.jpg,90,left,0,0
bva3-180r_1024_512.jpg,180,right,0,0
bva3-090r_1024_512.jpg,90,right,0,0
bva3-180l_1024_512.jpg,180,left,0,0
bva3-225r_1024_512.jpg,225,right,0,0
bva3-135r_1024_512.jpg,135,right,0,0
bva3-315r_1024_512.jpg,315,right,0,0
bva3-225r_1024_512.jpg,225,right,0,0
bva3-225l_1024_512.jpg,225,left,0,0
bva3-270r_1024_512.jpg,270,right,0,0
bva3-045l_1024_512.jpg,45,left,0,0
bva3-270l_1024_512.jpg,270,left,0,0
bva3-090r_1024_512.jpg,90,right,0,0
bva3-315r_1024_512.jpg,315,right,0,0
bva3-135r_1024_512.jpg,135,right,0,0
bva3-180l_1024_512.jpg,180,left,0,0
bva3-135l_1024_512.jpg,135,left,0,0
bva3-225l_1024_512.jpg,225,left,0,0
bva3-180r_1024_512.jpg,180,right,0,0
bva3-270l_1024_512.jpg,270,left,0,0
bva3-045r_1024_512.jpg,45,right,0,0
bva3-270r_1024_512.jpg,270,right,0,0
bva3-315l_1024_512.jpg,315,left,0,0
bva3-045l_1024_512.jpg,45,left,0,1
bva3-270l_1024_512.jpg,270,left,0,0
bva3-180r_1024_512.jpg,180,right,0,0
bva3-225l_1024_512.jpg,225,left,0,0
bva3-270r_1024_512.jpg,270,right,0,0
bva3-270r_1024_512.jpg,270,right,0,0
bva3-045r_1024_512.jpg,45,right,0,0
bva3-090l_1024_512.jpg,90,left,0,0
bva3-270l_1024_512.jpg,270,left,0,0
bva3-225r_1024_512.jpg,225,right,0,0
bva3-135l_1024_512.jpg,135,left,0,0
bva3-180r_1024_512.jpg,180,right,0,0
bva3-180l_1024_512.jpg,180,left,0,0
bva3-315r_1024_512.jpg,315,right,0,0
bva3-135r_1024_512.jpg,135,right,0,0
bva3-315r_1024_512.jpg,315,right,0,0
bva3-135l_1024_512.jpg,135,left,0,0
bva3-225r_1024_512.jpg,225,right,0,0
bva3-315l_1024_512.jpg,315,left,0,0
bva3-045r_1024_512.jpg,45,right,0,0
bva3-180l_1024_512.jpg,180,left,0,0
bva3-225l_1024_512.jpg,225,left,0,0
bva3-090l_1024_512.jpg,90,left,0,0
bva3-135r_1024_512.jpg,135,right,0,0
bva3-045l_1024_512.jpg,45,left,0,0
bva3-315l_1024_512.jpg,315,left,0,0
bva3-090r_1024_512.jpg,90,right,0,0
bva3-090r_1024_512.jpg,90,right,0,0  
