obrazek,uhel,corrAns,zpetnavazba,pauza
egoallo-225l_512_512.jpg,225,left,1,1
egoallo-090r_512_512.jpg,90,right,1,0
egoallo-270l_512_512.jpg,270,left,1,0
egoallo-225r_512_512.jpg,180,right,1,0
egoallo-315r_512_512.jpg,315,right,1,0
egoallo-045r_512_512.jpg,45,right,0,1
egoallo-315l_512_512.jpg,315,left,0,0
egoallo-090l_512_512.jpg,90,left,0,0
egoallo-045l_512_512.jpg,45,left,0,0
egoallo-135l_512_512.jpg,135,left,0,0
egoallo-090l_512_512.jpg,90,left,0,0
egoallo-180r_512_512.jpg,180,right,0,0
egoallo-090r_512_512.jpg,90,right,0,0
egoallo-180l_512_512.jpg,180,left,0,0
egoallo-225r_512_512.jpg,225,right,0,0
egoallo-135r_512_512.jpg,135,right,0,0
egoallo-315r_512_512.jpg,315,right,0,0
egoallo-225r_512_512.jpg,225,right,0,0
egoallo-225l_512_512.jpg,225,left,0,0
egoallo-270r_512_512.jpg,270,right,0,0
egoallo-045l_512_512.jpg,45,left,0,0
egoallo-270l_512_512.jpg,270,left,0,0
egoallo-090r_512_512.jpg,90,right,0,0
egoallo-315r_512_512.jpg,315,right,0,0
egoallo-135r_512_512.jpg,135,right,0,0
egoallo-180l_512_512.jpg,180,left,0,0
egoallo-135l_512_512.jpg,135,left,0,0
egoallo-225l_512_512.jpg,225,left,0,0
egoallo-180r_512_512.jpg,180,right,0,0
egoallo-270l_512_512.jpg,270,left,0,0
egoallo-045r_512_512.jpg,45,right,0,0
egoallo-270r_512_512.jpg,270,right,0,0
egoallo-315l_512_512.jpg,315,left,0,0
egoallo-045l_512_512.jpg,45,left,0,1
egoallo-270l_512_512.jpg,270,left,0,0
egoallo-180r_512_512.jpg,180,right,0,0
egoallo-225l_512_512.jpg,225,left,0,0
egoallo-270r_512_512.jpg,270,right,0,0
egoallo-270r_512_512.jpg,270,right,0,0
egoallo-045r_512_512.jpg,45,right,0,0
egoallo-090l_512_512.jpg,90,left,0,0
egoallo-270l_512_512.jpg,270,left,0,0
egoallo-225r_512_512.jpg,225,right,0,0
egoallo-135l_512_512.jpg,135,left,0,0
egoallo-180r_512_512.jpg,180,right,0,0
egoallo-180l_512_512.jpg,180,left,0,0
egoallo-315r_512_512.jpg,315,right,0,0
egoallo-135r_512_512.jpg,135,right,0,0
egoallo-315r_512_512.jpg,315,right,0,0
egoallo-135l_512_512.jpg,135,left,0,0
egoallo-225r_512_512.jpg,225,right,0,0
egoallo-315l_512_512.jpg,315,left,0,0
egoallo-045r_512_512.jpg,45,right,0,0
egoallo-180l_512_512.jpg,180,left,0,0
egoallo-225l_512_512.jpg,225,left,0,0
egoallo-090l_512_512.jpg,90,left,0,0
egoallo-135r_512_512.jpg,135,right,0,0
egoallo-045l_512_512.jpg,45,left,0,0
egoallo-315l_512_512.jpg,315,left,0,0
egoallo-090r_512_512.jpg,90,right,0,0
egoallo-090r_512_512.jpg,90,right,0,0  
