text,oddball,pauza,blok
X,0,1,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,0,1
O,1,0,1
X,0,0,1
X,0,1,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
X,0,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
X,0,0,2
O,1,0,2
X,0,0,2
X,0,0,2
X,0,0,2
X,0,0,2
X,0,0,2
