opakovani obrazku,cisloobrazku,obrazek,corrans,pauza
3,8,sydney_opera_house_fake_1000.jpg,0,1
3,5,P2181326.jpg,0,0
5,3,P2181321.jpg,0,0
3,4,venezia_fake_1000.jpg,0,0
5,2,white_house_washington_fake_1000.jpg,0,0
5,4,venezia_fake_1000.jpg,0,1
5,5,ovoce-jahoda.jpg,1,0
5,6,vatican_1000.jpg,0,0
2,14,f4016.jpg,0,0
2,2,ovoce-banany.jpg,1,0
1,4,venezia_fake_1000.jpg,0,1
1,5,P2181326.jpg,0,0
2,7,tower_bridge_fake_1000.jpg,0,0
2,19,ceska-krajina-06-voda-stromy-5625000_print.jpg,0,0
5,9,m4042.jpg,0,0
2,20,ceska-krajina-03-hory-lesy-priroda.jpg,0,1
5,12,pyramids_sphinx_fake_1000.jpg,0,0
3,20,f4018.jpg,0,0
4,11,f4009.jpg,0,0
4,10,m4029.jpg,0,0
5,11,P2181346.JPG,0,1
2,17,great_wall_of_china_fake_1000.JPG,0,0
2,6,P2181327.jpg,0,0
3,11,P2181346.JPG,0,0
2,9,sky12_1280.jpg,0,0
5,16,isle-of-wight-190616_1280.jpg,0,1
2,16,P2181363.JPG,0,0
2,10,P2181341.JPG,0,0
5,3,wetland-scene-in-the-catskills-mountains.jpg,0,0
5,8,sydney_opera_house_fake_1000.jpg,0,0
3,11,f4009.jpg,0,1
4,1,ovoce-pomeranc.jpg,1,0
4,17,m4079.jpg,0,0
1,18,P2181371.JPG,0,0
3,9,sky12_1280.jpg,0,0
4,15,P2181360.JPG,0,1
2,13,prague_castle_fake_1000.jpg,0,0
2,6,m4017.jpg,0,0
2,3,ovoce-tresne.jpg,1,0
5,15,karlstejn_fake_1000.jpg,0,0
3,1,f4007_1.jpg,0,1
3,1,P2181312.JPG,0,0
4,19,ceska-krajina-06-voda-stromy-5625000_print.jpg,0,0
1,7,m4068.jpg,0,0
3,3,wetland-scene-in-the-catskills-mountains.jpg,0,0
5,15,f4027.jpg,0,1
1,10,P2181341.JPG,0,0
4,1,f4007_1.jpg,0,0
3,10,m4029.jpg,0,0
1,2,P2181315.JPG,0,0
1,3,P2181321.jpg,0,1
1,18,f4017.jpg,0,0
1,2,m4048.jpg,0,0
1,17,P2181369.JPG,0,0
1,15,karlstejn_fake_1000.jpg,0,0
3,5,ovoce-jahoda.jpg,1,1
2,11,f4009.jpg,0,0
3,12,f4029.jpg,0,0
4,17,P2181369.JPG,0,0
4,12,P2181349.JPG,0,0
3,14,P2181358.jpg,0,1
2,11,P2181346.JPG,0,0
4,16,isle-of-wight-190616_1280.jpg,0,0
5,2,ovoce-banany.jpg,1,0
2,1,bratislava_castle_1000.jpg,0,0
2,13,P2181355.JPG,0,1
5,9,sky12_1280.jpg,0,0
1,19,m4061.jpg,0,0
5,10,rio_de_janiero_jesus_view_fake_1000.jpg,0,0
2,1,ovoce-pomeranc.jpg,1,0
3,3,ovoce-tresne.jpg,1,1
2,10,m4029.jpg,0,0
1,14,P2181358.jpg,0,0
1,5,vatican_fake_1000.JPG,0,0
4,11,P2181346.JPG,0,0
4,4,ovoce-jablko.jpg,1,1
4,5,f4008.jpg,0,0
1,13,prague_castle_fake_1000.jpg,0,0
3,12,P2181349.JPG,0,0
5,16,P2181363.JPG,0,0
5,2,P2181315.JPG,0,1
5,14,f4016.jpg,0,0
5,12,P2181349.JPG,0,0
5,14,P2181358.jpg,0,0
4,2,P2181315.JPG,0,0
1,1,bratislava_castle_1000.jpg,0,1
5,1,ovoce-pomeranc.jpg,1,0
4,19,m4061.jpg,0,0
3,16,m4006.jpg,0,0
4,9,P2181340.jpg,0,0
1,15,f4027.jpg,0,1
5,10,m4029.jpg,0,0
1,9,P2181340.jpg,0,0
4,20,f4018.jpg,0,0
1,13,m4001.jpg,0,0
4,8,P2181335.JPG,0,1
3,2,ovoce-banany.jpg,1,0
4,14,f4016.jpg,0,0
2,4,f4030.jpg,0,0
4,10,rio_de_janiero_jesus_view_fake_1000.jpg,0,0
5,15,P2181360.JPG,0,1
5,14,parthenon_fake_1000.JPG,0,0
4,18,P2181371.JPG,0,0
3,17,m4079.jpg,0,0
5,19,m4061.jpg,0,0
3,18,f4017.jpg,0,1
3,5,vatican_fake_1000.JPG,0,0
2,4,venezia_fake_1000.jpg,0,0
1,1,P2181312.JPG,0,0
1,4,f4030.jpg,0,0
4,7,m4068.jpg,0,1
2,6,vatican_1000.jpg,0,0
1,14,f4016.jpg,0,0
1,13,P2181355.JPG,0,0
1,11,rio_de_janiero_jesus_view_1000.jpg,0,0
2,19,m4061.jpg,0,1
1,10,m4029.jpg,0,0
3,7,tower_bridge_fake_1000.jpg,0,0
2,13,m4001.jpg,0,0
1,2,ovoce-banany.jpg,1,0
2,2,white_house_washington_fake_1000.jpg,0,1
3,15,karlstejn_fake_1000.jpg,0,0
