cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
22,F_EMWmale19-2neutral.jpg,faces,young,male,0,0,1,67,0
121,O_candleholder01.jpg,objects,jine,x,0,0,0,67,0
1,F_EMWfemale18-2neutral.jpg,faces,young,female,0,0,0,67,0
303,S_Nature_pobrezi6.jpg,scenes,nature,hory-voda,1,0,0,67,0
76,F_TSFWmale68neutral.jpg,faces,old,male,0,0,0,67,1
304,S_Nature_pobrezi7.jpg,scenes,nature,hory-voda,1,0,1,68,0
178,O_sewingmachine01a.jpg,objects,elektronika,x,0,0,0,68,0
203,Ofv_banana.jpg,fruit_vegetables,fruit,x,0,1,0,68,0
123,O_carkeys.jpg,objects,jine,x,0,0,0,68,0
70,F_TSFWmale61neutral.jpg,faces,old,male,0,0,0,68,1
181,O_stapleremover.jpg,objects,nastroj,x,0,0,1,69,0
117,O_bucket01a.jpg,objects,nastroj,x,0,0,0,69,0
199,O_workingglove02c.jpg,objects,obleceni,x,0,0,0,69,0
317,S_Nature_skala2.jpg,scenes,nature,hory,0,0,0,69,0
99,F_WWmale23-5neutral.jpg,faces,young,male,0,0,0,69,1
2,F_EMWfemale18neutral.jpg,faces,young,female,0,0,1,70,0
76,F_TSFWmale68neutral.jpg,faces,old,male,0,0,0,70,0
44,F_TSFWfemale62neutral.jpg,faces,old,female,0,0,0,70,0
226,S_Artificial_akvadukt2.jpg,scenes,artificial,funkcni stavba,0,0,0,70,0
210,Ofv_grapes01.jpg,fruit_vegetables,fruit,x,0,1,0,70,1
175,O_scissors01.jpg,objects,nastroj,x,0,0,1,71,0
14,F_EMWfemale24neutral.jpg,faces,young,female,0,0,0,71,0
64,F_TSFWfemale70neutral.jpg,faces,old,female,0,0,0,71,0
80,F_TSFWmale72neutral.jpg,faces,old,male,0,0,0,71,0
165,O_paintroller01.jpg,objects,nastroj,x,0,0,0,71,1
122,O_cap01a.jpg,objects,obleceni,x,0,0,1,72,0
210,Ofv_grapes01.jpg,fruit_vegetables,fruit,x,0,1,0,72,0
47,F_TSFWfemale63neutral.jpg,faces,old,female,0,0,0,72,0
247,S_Artificial_kostel.jpg,scenes,artificial,chram,0,0,0,72,0
121,O_candleholder01.jpg,objects,jine,x,0,0,0,72,1
161,O_medal02b.jpg,objects,jine,x,0,0,1,73,0
190,O_toycar04.jpg,objects,herni,x,0,0,0,73,0
271,S_Artificial_zamek-schody.jpg,scenes,artificial,kulturni pamatka,0,0,0,73,0
180,O_spraybottle01.jpg,objects,kuchyn,x,0,0,0,73,0
318,S_Nature_skala3.jpg,scenes,nature,hory,0,0,0,73,1
306,S_Nature_reka.jpg,scenes,nature,vodni plocha,1,0,1,74,0
204,Ofv_blackberry.jpg,fruit_vegetables,fruit,x,0,1,0,74,0
26,F_EMWmale20neutral.jpg,faces,young,male,0,0,0,74,0
272,S_Artificial_zamek-zahrada.jpg,scenes,artificial,kulturni pamatka,0,0,0,74,0
96,F_WWmale20-1neutral.jpg,faces,young,male,0,0,0,74,1
5,F_EMWfemale20neutral.jpg,faces,young,female,0,0,1,75,0
273,S_Artificial_zamek-zahrada2.jpg,scenes,artificial,kulturni pamatka,0,0,0,75,0
59,F_TSFWfemale68neutral.jpg,faces,old,female,0,0,0,75,0
166,O_pingpongracket.jpg,objects,herni,x,0,0,0,75,0
101,O_alarmclock.jpg,objects,elektronika,x,0,0,0,75,1
188,O_thimble.jpg,objects,nastroj,x,0,0,1,76,0
72,F_TSFWmale66-2neutral.jpg,faces,old,male,0,0,0,76,0
218,Ofv_pear01.jpg,fruit_vegetables,fruit,x,0,1,0,76,0
184,O_tambourine.jpg,objects,herni,x,0,0,0,76,0
298,S_Nature_pobrezi.jpg,scenes,nature,hory-voda,1,0,0,76,1
181,O_stapleremover.jpg,objects,nastroj,x,0,0,1,77,0
116,O_brush05b.jpg,objects,nastroj,x,0,0,0,77,0
161,O_medal02b.jpg,objects,jine,x,0,0,0,77,0
190,O_toycar04.jpg,objects,herni,x,0,0,0,77,0
63,F_TSFWfemale69neutral.jpg,faces,old,female,0,0,0,77,1
205,Ofv_broccoli01a.jpg,fruit_vegetables,vegetable,x,0,1,1,78,0
182,O_strainer01b.jpg,objects,kuchyn,x,0,0,0,78,0
235,S_Artificial_domek3.jpg,scenes,artificial,budova,1,0,0,78,0
24,F_EMWmale19neutral.jpg,faces,young,male,0,0,0,78,0
