cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
137,O_flask.jpg,objects,kuchyn,x,0,0,1,1,0
194,O_wallet04.jpg,objects,jine,x,0,0,0,1,0
126,O_comb02a.jpg,objects,jine,x,0,0,0,1,0
68,F_TSFWmale37neutral.jpg,faces,young,male,0,0,0,1,0
276,S_Nature_duny.jpg,scenes,nature,poust-pole,0,0,0,1,1
119,O_camera01a.jpg,objects,elektronika,x,0,0,1,2,0
33,F_EMWmale23neutral.jpg,faces,young,male,0,0,0,2,0
309,S_Nature_sady3XXXX.jpg,scenes,nature,poust-pole,0,0,0,2,0
133,O_electricrazor.jpg,objects,elektronika,x,0,0,0,2,0
195,O_waterbottle01b.jpg,objects,kuchyn,x,0,0,0,2,1
15,F_EMWfemale27-3neutral.jpg,faces,young,female,0,0,1,3,0
74,F_TSFWmale67neutral.jpg,faces,old,male,0,0,0,3,0
260,S_Artificial_orient7.jpg,scenes,artificial,chram,0,0,0,3,0
140,O_garlicpress02a.jpg,objects,kuchyn,x,0,0,0,3,0
317,S_Nature_skala2.jpg,scenes,nature,hory,0,0,0,3,1
77,F_TSFWmale70neutral.jpg,faces,old,male,0,0,1,4,0
251,S_Artificial_kupola.jpg,scenes,artificial,funkcni stavba,0,0,0,4,0
4,F_EMWfemale20-2neutral.jpg,faces,young,female,0,0,0,4,0
79,F_TSFWmale71neutral.jpg,faces,old,male,0,0,0,4,0
277,S_Nature_duny3.jpg,scenes,nature,poust-pole,0,0,0,4,1
293,S_Nature_kanon6.jpg,scenes,nature,hory,0,0,1,5,0
242,S_Artificial_hrad-reka.jpg,scenes,artificial,kulturni pamatka,1,0,0,5,0
231,S_Artificial_budova8X.jpg,scenes,artificial,budova,0,0,0,5,0
160,O_measuringtape01.jpg,objects,nastroj,x,0,0,0,5,0
40,F_TSFWfemale50-2neutral.jpg,faces,old,female,0,0,0,5,1
256,S_Artificial_most.jpg,scenes,artificial,funkcni stavba,1,0,1,6,0
322,S_Nature_skala8x.jpg,scenes,nature,hory,0,0,0,6,0
245,S_Artificial_kominy2.jpg,scenes,artificial,funkcni stavba,0,0,0,6,0
300,S_Nature_pobrezi3.jpg,scenes,nature,hory-voda,1,0,0,6,0
94,F_WWfemale26neutral.jpg,faces,young,female,0,0,0,6,1
215,Ofv_lettuce.jpg,fruit_vegetables,vegetable,x,0,1,1,7,0
3,F_EMWfemale19neutral.jpg,faces,young,female,0,0,0,7,0
296,S_Nature_plato.jpg,scenes,nature,hory,0,0,0,7,0
230,S_Artificial_budova6.jpg,scenes,artificial,budova,0,0,0,7,0
216,Ofv_onion.jpg,fruit_vegetables,vegetable,x,0,1,0,7,1
123,O_carkeys.jpg,objects,jine,x,0,0,1,8,0
157,O_lock03a.jpg,objects,jine,x,0,0,0,8,0
156,O_lighter01.jpg,objects,jine,x,0,0,0,8,0
166,O_pingpongracket.jpg,objects,herni,x,0,0,0,8,0
78,F_TSFWmale71-4neutral.jpg,faces,old,male,0,0,0,8,1
87,F_TSFWmale79-2neutral.jpg,faces,old,male,0,0,1,9,0
56,F_TSFWfemale67neutral.jpg,faces,old,female,0,0,0,9,0
154,O_laptop01a.jpg,objects,elektronika,x,0,0,0,9,0
39,F_JWmale69-2neutral.jpg,faces,old,male,0,0,0,9,0
163,O_nailclipper03b.jpg,objects,nastroj,x,0,0,0,9,1
277,S_Nature_duny3.jpg,scenes,nature,poust-pole,0,0,1,10,0
234,S_Artificial_cina2.jpg,scenes,artificial,chram,0,0,0,10,0
218,Ofv_pear01.jpg,fruit_vegetables,fruit,x,0,1,0,10,0
117,O_bucket01a.jpg,objects,nastroj,x,0,0,0,10,0
32,F_EMWmale23-3neutral.jpg,faces,young,male,0,0,0,10,1
159,O_makeupbrush04.jpg,objects,jine,x,0,0,1,11,0
198,O_winebottle01.jpg,objects,kuchyn,x,0,0,0,11,0
240,S_Artificial_hrad3.jpg,scenes,artificial,kulturni pamatka,0,0,0,11,0
271,S_Artificial_zamek-schody.jpg,scenes,artificial,kulturni pamatka,0,0,0,11,0
301,S_Nature_pobrezi4.jpg,scenes,nature,hory-voda,1,0,0,11,1
20,F_EMWfemale34-2neutral.jpg,faces,young,female,0,0,1,12,0
202,Ofv_avocado.jpg,fruit_vegetables,fruit,x,0,1,0,12,0
17,F_EMWfemale27neutral.jpg,faces,young,female,0,0,0,12,0
291,S_Nature_kanon4.jpg,scenes,nature,hory-voda,1,0,0,12,0
