cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok
168,O_pliers05.jpg,objects,nastroj,x,0,0,1,1
46,F_TSFWfemale63-3neutral.jpg,faces,old,female,0,0,0,1
121,O_candleholder01.jpg,objects,jine,x,0,0,0,1
231,S_Artificial_budova8X.jpg,scenes,artificial,budova,0,0,0,1
303,S_Nature_pobrezi6.jpg,scenes,nature,hory-voda,1,0,0,1
4,F_EMWfemale20-2neutral.jpg,faces,young,female,0,0,1,2
102,O_antenna.jpg,objects,elektronika,x,0,0,0,2
178,O_sewingmachine01a.jpg,objects,elektronika,x,0,0,0,2
203,Ofv_banana.jpg,fruit_vegetables,fruit,x,0,1,0,2
283,S_Nature_jezero6.jpg,scenes,nature,hory-voda,1,0,0,2
70,F_TSFWmale61neutral.jpg,faces,old,male,0,0,1,3
181,O_stapleremover.jpg,objects,nastroj,x,0,0,0,3
149,O_iceskate.jpg,objects,obleceni,x,0,0,0,3
199,O_workingglove02c.jpg,objects,obleceni,x,0,0,0,3
317,S_Nature_skala2.jpg,scenes,nature,hory,0,0,0,3
99,F_WWmale23-5neutral.jpg,faces,young,male,0,0,1,4
2,F_EMWfemale18neutral.jpg,faces,young,female,0,0,0,4
76,F_TSFWmale68neutral.jpg,faces,old,male,0,0,0,4
44,F_TSFWfemale62neutral.jpg,faces,old,female,0,0,0,4
226,S_Artificial_akvadukt2.jpg,scenes,artificial,funkcni stavba,0,0,0,4
210,Ofv_grapes01.jpg,fruit_vegetables,fruit,x,0,1,1,5
175,O_scissors01.jpg,objects,nastroj,x,0,0,0,5
81,F_TSFWmale74neutral.jpg,faces,old,male,0,0,0,5
64,F_TSFWfemale70neutral.jpg,faces,old,female,0,0,0,5
80,F_TSFWmale72neutral.jpg,faces,old,male,0,0,0,5
165,O_paintroller01.jpg,objects,nastroj,x,0,0,1,6
143,O_hairclip03.jpg,objects,jine,x,0,0,0,6
47,F_TSFWfemale63neutral.jpg,faces,old,female,0,0,0,6
247,S_Artificial_kostel.jpg,scenes,artificial,chram,0,0,0,6
126,O_comb02a.jpg,objects,jine,x,0,0,0,6
240,S_Artificial_hrad3.jpg,scenes,artificial,kulturni pamatka,0,0,1,7
