doleva,corrans,sipkaframu,nahore,pauza,blok,no3
0,right,6,1,0,1,-7
1,left,6,1,0,1,-6
0,right,6,0,0,1,-5
1,left,6,0,0,1,-4
0,right,6,0,0,1,-3
1,left,6,1,0,1,-2
1,left,6,0,0,1,-1
0,right,6,1,0,1,0
1,left,4,0,1,2,1
1,left,4,0,0,2,2
1,left,4,0,0,2,3
1,left,4,1,0,2,4
0,right,4,1,0,2,5
1,left,4,1,0,2,6
1,left,4,0,0,2,7
1,left,4,1,0,2,8
1,left,4,1,0,2,9
0,right,4,1,0,2,10
1,left,4,0,0,2,11
1,left,4,1,0,2,12
0,right,4,0,0,2,13
1,left,4,1,0,2,14
0,right,4,1,0,2,15
1,left,4,1,0,2,16
0,right,4,1,0,2,17
1,left,4,1,0,2,18
0,right,4,1,0,2,19
1,left,4,1,0,2,20
0,right,4,0,0,2,21
0,right,4,0,0,2,22
1,left,4,1,0,2,23
0,right,4,0,0,2,24
1,left,4,0,0,2,25
1,left,4,1,0,2,26
0,right,4,1,0,2,27
0,right,4,0,0,2,28
0,right,4,0,0,2,29
0,right,4,1,0,2,30
0,right,4,1,0,2,31
0,right,4,1,0,2,32
1,left,4,0,0,2,33
0,right,4,1,0,2,34
0,right,4,1,0,2,35
1,left,4,1,0,2,36
1,left,4,0,0,2,37
0,right,4,0,0,2,38
1,left,4,0,0,2,39
0,right,4,0,0,2,40
1,left,4,0,0,2,41
0,right,4,1,0,2,42
1,left,4,1,0,2,43
1,left,4,1,0,2,44
0,right,4,0,0,2,45
0,right,4,0,0,2,46
0,right,4,1,0,2,47
0,right,4,0,0,2,48
1,left,4,0,0,2,49
0,right,4,0,0,2,50
1,left,4,0,0,2,51
1,left,4,0,0,2,52
0,right,4,0,0,2,53
0,right,4,1,0,2,54
0,right,4,1,0,2,55
1,left,4,1,0,2,56
1,left,4,0,0,2,57
1,left,4,1,0,2,58
1,left,4,1,0,2,59
1,left,4,1,0,2,60
1,left,4,0,0,2,61
1,left,4,0,0,2,62
1,left,4,0,0,2,63
0,right,4,1,0,2,64
0,right,4,0,0,2,65
1,left,4,0,0,2,66
1,left,4,1,0,2,67
0,right,4,0,0,2,68
1,left,4,1,0,2,69
0,right,4,0,0,2,70
1,left,4,1,0,2,71
0,right,4,1,0,2,72
1,left,4,0,0,2,73
0,right,4,0,0,2,74
1,left,4,1,0,2,75
0,right,4,0,0,2,76
1,left,4,1,0,2,77
0,right,4,1,0,2,78
0,right,4,0,0,2,79
0,right,4,1,0,2,80
1,left,4,1,1,3,81
0,right,2,1,0,3,82
1,left,2,0,0,3,83
0,right,2,1,0,3,84
1,left,2,1,0,3,85
0,right,2,0,0,3,86
0,right,2,0,0,3,87
0,right,2,0,0,3,88
1,left,2,1,0,3,89
0,right,2,1,0,3,90
0,right,2,0,0,3,91
1,left,4,0,0,3,92
1,left,2,1,0,3,93
1,left,2,0,0,3,94
1,left,2,0,0,3,95
0,right,2,0,0,3,96
0,right,2,0,0,3,97
1,left,2,0,0,3,98
0,right,2,1,0,3,99
0,right,2,0,0,3,100
0,right,2,0,0,3,101
0,right,2,1,0,3,102
0,right,4,0,0,3,103
1,left,2,0,0,3,104
0,right,2,0,0,3,105
1,left,2,1,0,3,106
1,left,2,1,0,3,107
0,right,2,0,0,3,108
1,left,2,1,0,3,109
0,right,2,0,0,3,110
1,left,2,0,0,3,111
1,left,2,1,0,3,112
1,left,2,0,0,3,113
0,right,4,1,0,3,114
0,right,2,1,0,3,115
0,right,2,0,0,3,116
1,left,2,0,0,3,117
1,left,2,1,0,3,118
1,left,2,1,0,3,119
0,right,2,1,0,3,120
0,right,2,1,0,3,121
0,right,2,1,0,3,122
1,left,2,1,0,3,123
1,left,2,1,0,3,124
1,left,4,1,0,3,125
1,left,2,1,0,3,126
1,left,2,1,0,3,127
0,right,2,1,0,3,128
1,left,2,1,0,3,129
0,right,2,0,0,3,130
0,right,2,1,0,3,131
0,right,2,1,0,3,132
1,left,2,1,0,3,133
1,left,2,1,0,3,134
0,right,2,0,0,3,135
0,right,4,1,0,3,136
0,right,2,0,0,3,137
1,left,2,0,0,3,138
0,right,2,1,0,3,139
1,left,2,0,0,3,140
0,right,2,0,0,3,141
0,right,2,1,0,3,142
1,left,2,1,0,3,143
0,right,2,0,0,3,144
1,left,2,0,0,3,145
1,left,2,0,0,3,146
0,right,4,0,0,3,147
1,left,2,1,0,3,148
0,right,2,1,0,3,149
0,right,2,1,0,3,150
0,right,2,0,0,3,151
1,left,2,1,0,3,152
0,right,2,1,0,3,153
1,left,2,0,0,3,154
1,left,2,0,0,3,155
1,left,2,0,0,3,156
0,right,2,0,0,3,157
0,right,4,0,0,3,158
1,left,2,0,0,3,159
1,left,2,1,0,3,160
1,left,2,0,0,3,161
