doleva,corrans,sipkaframu,nahore,pauza,blok,no,no2
0,right,6,1,0,0,-7,-7
1,left,6,1,0,0,-6,-6
0,right,6,0,0,0,-5,-5
1,left,6,0,0,0,-4,-4
0,right,6,0,0,0,-3,-3
1,left,6,1,0,0,-2,-2
1,left,6,0,0,0,-1,-1
0,right,6,1,0,0,0,0
1,left,2,1,1,0,2,25
0,right,1,1,0,0,4,25
1,left,1,0,0,0,6,26
0,right,1,1,0,0,7,27
1,left,1,1,0,0,12,28
0,right,1,0,0,0,13,29
0,right,1,0,0,0,14,30
0,right,1,0,0,0,16,31
1,left,1,1,0,0,17,32
0,right,1,1,0,0,19,33
0,right,1,0,0,0,20,34
1,left,2,0,0,0,18,35
1,left,1,1,0,0,22,35
1,left,1,0,0,0,23,36
1,left,1,0,0,0,25,37
0,right,1,0,0,0,26,38
0,right,1,0,0,0,28,39
1,left,1,0,0,0,29,40
0,right,1,1,0,0,32,41
0,right,1,0,0,0,35,42
0,right,1,0,0,0,37,43
0,right,1,1,0,0,44,44
0,right,2,0,0,0,24,45
1,left,1,0,0,0,47,45
0,right,1,0,0,0,52,46
1,left,1,1,0,0,56,47
1,left,1,1,0,0,59,48
0,right,1,0,0,0,60,49
1,left,1,1,0,0,61,50
0,right,1,0,0,0,63,51
1,left,1,0,0,0,65,52
1,left,1,1,0,0,67,53
1,left,1,0,0,0,68,54
0,right,2,1,0,0,38,55
0,right,1,1,0,0,69,55
0,right,1,0,0,0,71,56
1,left,1,0,0,0,72,57
1,left,1,1,0,0,73,58
1,left,1,1,0,0,74,59
0,right,1,1,0,0,77,60
0,right,1,1,0,0,78,61
0,right,1,1,0,0,80,62
1,left,1,1,0,0,81,63
1,left,1,1,0,0,88,64
1,left,2,1,0,0,41,65
1,left,1,1,0,0,89,65
1,left,1,1,0,0,91,66
0,right,1,1,0,0,93,67
1,left,1,1,0,0,94,68
0,right,1,0,0,0,95,69
0,right,1,1,0,0,96,70
0,right,1,1,0,0,98,71
1,left,1,1,0,0,99,72
1,left,1,1,0,0,101,73
0,right,1,0,0,0,102,74
0,right,2,1,0,0,51,75
0,right,1,0,0,0,107,75
1,left,1,0,0,0,108,76
0,right,1,1,0,0,110,77
1,left,1,0,0,0,113,78
0,right,1,0,0,0,114,79
0,right,1,1,0,0,117,80
1,left,1,1,0,0,118,81
0,right,1,0,0,0,119,82
1,left,1,0,0,0,123,83
1,left,1,0,0,0,124,84
0,right,2,0,0,0,57,85
1,left,1,1,0,0,127,85
0,right,1,1,0,0,131,86
0,right,1,1,0,0,132,87
0,right,1,0,0,0,134,88
1,left,1,1,0,0,135,89
0,right,1,1,0,0,136,90
1,left,1,0,0,0,141,91
1,left,1,0,0,0,142,92
1,left,1,0,0,0,147,93
0,right,1,0,0,0,149,94
0,right,2,0,0,0,79,95
1,left,1,0,0,0,150,95
1,left,1,1,0,0,151,96
1,left,1,0,0,0,154,97
1,left,1,1,0,0,159,98
0,right,1,1,0,0,160,99
1,left,1,0,0,0,161,100
1,left,1,0,0,0,163,101
1,left,1,1,0,0,165,102
0,right,1,1,0,0,167,103
1,left,1,1,0,0,171,104
1,left,2,1,1,0,85,105
0,right,0,0,0,0,1,105
1,left,0,0,0,0,86,106
1,left,1,0,0,0,234,107
0,right,1,1,0,0,220,108
1,left,0,0,0,0,92,109
1,left,0,0,0,0,84,110
1,left,1,0,0,0,189,111
1,left,0,1,0,0,15,112
1,left,1,1,0,0,241,113
0,right,1,1,0,0,209,114
0,right,2,0,0,0,90,115
0,right,1,0,0,0,258,115
1,left,1,1,0,0,188,116
1,left,1,0,0,0,244,117
0,right,1,1,0,0,172,118
0,right,0,0,0,0,64,119
1,left,0,1,0,0,45,120
0,right,0,1,0,0,75,121
0,right,1,0,0,0,216,122
0,right,1,0,0,0,173,123
0,right,1,0,0,0,262,124
1,left,2,1,0,0,97,125
0,right,0,0,0,0,27,125
1,left,0,1,0,0,30,126
1,left,0,1,0,0,49,127
0,right,1,1,0,0,195,128
0,right,0,1,0,0,36,129
